CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
A001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,Minor assessment,23.75,,,
A002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,Enhanced month well baby visit ,,,,
A003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,General assessment,87.35,,,
A004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,General re-assessment,38.35,,,
A005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Not applicable,Consultation,87.9,,,
A006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,Repeat consultation,45.9,,,
A007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Special palliative care consultation,Intermediate assessment or well baby care,37.95,,,
A008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,Mini assessment,Mini assessment,13.05,,,
A010,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,GENERAL LISTINGS,Focused practice consultation by Video,GP focused practice consultation by Video,87.9,,,
A011,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,GENERAL LISTINGS,Focused practice repeat consultation by Video,GP focused practice repeat consultation by Video,45.9,,,
A013,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),Specific assessment,64.65,,,
A014,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),Partial assessment,31.45,,,
A015,CONSULTATIONS AND VISITS,ANAESTHESIA(01),GENERAL  LISTINGS,Consultation,Consultation,109.7,,,
A016,CONSULTATIONS AND VISITS,ANAESTHESIA(01),GENERAL  LISTINGS,Consultation,Repeat consultation,52.15,,,
A020,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Complex dermatology assessment,Complex dermatology assessment,60,,,
A021,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Advanced Dermatology Consultation,Advanced Dermatology Consultation,164.9,,,
A023,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Claims submission instructions,Specific assessment,43,,,
A024,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Claims submission instructions,Partial assessment,21.9,,,
A025,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Not applicable,Consultation,72.15,,,
A026,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,Claims submission instructions,Repeat consultation,44.45,,,
